Item Id;Item Name;Price;Sales;Shop Name;Commission Rate;Commission;Product Link;Offer Link
22192042729;Cola Branca PVA 5kg,  Papel , papelão e cartolina , pequenos trabalhos em madeira, envelopes e sacolas, artesanato, uso escolar, concreto, pipas e materiais porosos. (RICLACOL 1048 EF);R$36,14;242;Star Quim;3%;R$1,08;https://shopee.com.br/product/1049521397/22192042729;https://shope.ee/9Uce4VC28O
18673389417;Kit Material Escolar Completo Infantil Ensino Médio Faculdade Volta às Aulas;R$58,90;140;Almeida's Outlet;3%;R$1,77;https://shopee.com.br/product/230570292/18673389417;https://shope.ee/9KJDsCCfTN
20197106315;Estojo Escolar/Estojo Box/Estojo De Lápis De Quatro Camadas Com 72 Furos De Cor/Material Escolar/Papela Alex;R$41,99;196;Alex.store;3%;R$1,26;https://shopee.com.br/product/478697224/20197106315;https://shope.ee/9pFUT7AlSU
21135124777;Kit Material Escolar/Volta às Aulas - Estojo Completo Faber Castell/Dello;R$42,89;154;PAPELARIA TREVISANI;3%;R$1,29;https://shopee.com.br/product/586180618/21135124777;https://shope.ee/9ew4GoBOnT
23619730380;Tesoura Material Aço Escolar Volta as Aulas com Regua na Ponta;R$5,50;92;JJstore Utilidades e Presentes;3%;R$0,17;https://shopee.com.br/product/609632750/23619730380;https://shope.ee/A9sKrj9Uma
20297011486;Bts/Bt21/10 Canetas Esferográficas Coloridas Caneta Esferográfica Multifuncional Cor Estudante Material Escolar;R$5,50;296;Yilan.br;3%;R$0,17;https://shopee.com.br/product/821740933/20297011486;https://shope.ee/9zYufQA87Z
19597131097;1 Caneta + 10 Tintas 0,38 Mm Conjunto De Canetas-Tinteiro 0,38mm EF Nib Escrita Caligrafia Material Escolar Papelaria;R$23,98;123;superpen.br;3%;R$0,72;https://shopee.com.br/product/597066035/19597131097;https://shope.ee/AUVBGL8E6g
23596221712;111pcs/Batch 0,35mm Black/Blue/Red Ultra Thin Organization Gel Pen Gelpen Refiles De Tinta Para Material De Papelaria Exame Escolar;R$13,84;204;superpen.br;3%;R$0,42;https://shopee.com.br/product/597066035/23596221712;https://shope.ee/AKBl428rRf
22520763949;Kit de Material Escolar 20 Peças Leo & Leo - Kit escolar (Verde, Azul, Laranja, Roxo e Rosa, Game, Jardim ou Camping));R$26,99;141;Armarinho Valle;3%;R$0,81;https://shopee.com.br/product/663595543/22520763949;https://shope.ee/8A7GU3H6qG
14234592795;Lápis de Cor Sextavado Colorido Evolution 12 Cores Bic Papelaria Material Escolar;R$13,70;123;Papery;3%;R$0,41;https://shopee.com.br/product/507527619/14234592795;https://shope.ee/7znqHkHkBF
18198919846;Papel Sulfite A4 120gr Papel OffSet ideal para impressão jato de tinta, artesanato, material escolar;R$10,90;198;JF_ECOMMERCE;3%;R$0,33;https://shopee.com.br/product/838182438/18198919846;https://shope.ee/8Uk6sfFqAM
21797356665;Lapiseira Plus 2.0mm Pote Com 24 Unidades Leoeleo, Material Escolar, Escritório;R$21,95;102;PAPER PLUS;3%;R$0,66;https://shopee.com.br/product/360093364/21797356665;https://shope.ee/8KQggMGTVL
22196612426;Mochila Escolar Free Fire Bolsa Infantil Juvenil Para Viagem Promoção Volta As Aulas Top Material Reforçado Unissex;R$77,90;86;Todo Dia On;3%;R$2,34;https://shopee.com.br/product/691276325/22196612426;https://shope.ee/8pMxHHEZUS
22395508446;20PCS Nova Caneta Arco-Íris Multicolor Fluorescente Núcleo Refil Kawaii Material Escolar;R$5,50;189;365pulpen.br;3%;R$0,17;https://shopee.com.br/product/263731907/22395508446;https://shope.ee/8f3X4yFCpR
18197133914;Bloco De Notas/Papel Kraft/80 Folhas/Colado/Material Escolar/Escritório/Papelaria;R$14,00;101;superpen.br;3%;R$0,42;https://shopee.com.br/product/597066035/18197133914;https://shope.ee/99znftDIoY
22616033014;Etiqueta Adesiva ou Chaveiro Escolar Modelo One Piece Lápis Cadernos Material Escolar em Geral;R$15,99;94;PixelPrint;3%;R$0,48;https://shopee.com.br/product/385774827/22616033014;https://shope.ee/8zgNTaDw9X
22396841812;Kit Material Escolar Completo Fofo de Papelaria;R$38,50;128;Paraíso de Papelaria;3%;R$1,16;https://shopee.com.br/product/336369556/22396841812;https://shope.ee/6pbstbMBY8
19098535117;Mochila Escolar Infantil Rodinhas stitch Lancheira estojo lista material pelúcia;R$139,00;65;NGstyless;3%;R$4,17;https://shopee.com.br/product/431996325/19098535117;https://shope.ee/6fIShIMot7
